,sasa_N,cx_N,rd_value_N,sasa_CA,cx_CA,rd_value_CA,sasa_C,cx_C,rd_value_C,sasa_O,cx_O,rd_value_O,cx_min,cx_max,cx_avg,cx_std,u12_dist_0,u13_dist_0,u14_dist_0,u15_dist_0,u16_dist_0,u17_dist_0,u18_dist_0,u19_dist_0,nearest_distances_cb_0,u20_dist_0,u21_dist_0,u22_dist_0,u23_dist_0,u25_dist_0,u26_dist_0,u27_dist_0,u28_dist_0,nearest_distances_ca_0,t12_cos_0,t23_cos_0,t45_cos_0,t56_cos_0,t78_cos_0,t89_cos_0,t108_cos_0,t811_cos_0,t110_cos_0,t311_cos_0,t28_cos_0,t47_cos_0,t69_cos_0,t75_cos_0,t95_cos_0,t42_cos_0,t62_cos_0,t25_cos_0,t85_cos_0,dihedral_cos_selfai_selfbi_selfbj_selfaj_0,dihedral_sin_selfai_selfbi_selfbj_selfaj_0,dihedral_cos_minusi_selfi_selfj_minusj_0,dihedral_sin_minusi_selfi_selfj_minusj_0,dihedral_cos_minusi_selfi_selfj_plusj_0,dihedral_sin_minusi_selfi_selfj_plusj_0,dihedral_cos_plusi_selfi_selfj_minusj_0,dihedral_sin_plusi_selfi_selfj_minusj_0,dihedral_cos_plusi_selfi_selfj_plusj_0,dihedral_sin_plusi_selfi_selfj_plusj_0,linear_foldseek_b_0,log_foldseek_b_0,linear_foldseek_a_0,log_foldseek_a_0,u12_dist_1,u13_dist_1,u14_dist_1,u15_dist_1,u16_dist_1,u17_dist_1,u18_dist_1,u19_dist_1,nearest_distances_cb_1,u20_dist_1,u21_dist_1,u22_dist_1,u23_dist_1,u25_dist_1,u26_dist_1,u27_dist_1,u28_dist_1,nearest_distances_ca_1,t12_cos_1,t23_cos_1,t45_cos_1,t56_cos_1,t78_cos_1,t89_cos_1,t108_cos_1,t811_cos_1,t110_cos_1,t311_cos_1,t28_cos_1,t47_cos_1,t69_cos_1,t75_cos_1,t95_cos_1,t42_cos_1,t62_cos_1,t25_cos_1,t85_cos_1,dihedral_cos_selfai_selfbi_selfbj_selfaj_1,dihedral_sin_selfai_selfbi_selfbj_selfaj_1,dihedral_cos_minusi_selfi_selfj_minusj_1,dihedral_sin_minusi_selfi_selfj_minusj_1,dihedral_cos_minusi_selfi_selfj_plusj_1,dihedral_sin_minusi_selfi_selfj_plusj_1,dihedral_cos_plusi_selfi_selfj_minusj_1,dihedral_sin_plusi_selfi_selfj_minusj_1,dihedral_cos_plusi_selfi_selfj_plusj_1,dihedral_sin_plusi_selfi_selfj_plusj_1,linear_foldseek_b_1,log_foldseek_b_1,linear_foldseek_a_1,log_foldseek_a_1,u12_dist_2,u13_dist_2,u14_dist_2,u15_dist_2,u16_dist_2,u17_dist_2,u18_dist_2,u19_dist_2,nearest_distances_cb_2,u20_dist_2,u21_dist_2,u22_dist_2,u23_dist_2,u25_dist_2,u26_dist_2,u27_dist_2,u28_dist_2,nearest_distances_ca_2,t12_cos_2,t23_cos_2,t45_cos_2,t56_cos_2,t78_cos_2,t89_cos_2,t108_cos_2,t811_cos_2,t110_cos_2,t311_cos_2,t28_cos_2,t47_cos_2,t69_cos_2,t75_cos_2,t95_cos_2,t42_cos_2,t62_cos_2,t25_cos_2,t85_cos_2,dihedral_cos_selfai_selfbi_selfbj_selfaj_2,dihedral_sin_selfai_selfbi_selfbj_selfaj_2,dihedral_cos_minusi_selfi_selfj_minusj_2,dihedral_sin_minusi_selfi_selfj_minusj_2,dihedral_cos_minusi_selfi_selfj_plusj_2,dihedral_sin_minusi_selfi_selfj_plusj_2,dihedral_cos_plusi_selfi_selfj_minusj_2,dihedral_sin_plusi_selfi_selfj_minusj_2,dihedral_cos_plusi_selfi_selfj_plusj_2,dihedral_sin_plusi_selfi_selfj_plusj_2,linear_foldseek_b_2,log_foldseek_b_2,linear_foldseek_a_2,log_foldseek_a_2,u12_dist_3,u13_dist_3,u14_dist_3,u15_dist_3,u16_dist_3,u17_dist_3,u18_dist_3,u19_dist_3,nearest_distances_cb_3,u20_dist_3,u21_dist_3,u22_dist_3,u23_dist_3,u25_dist_3,u26_dist_3,u27_dist_3,u28_dist_3,nearest_distances_ca_3,t12_cos_3,t23_cos_3,t45_cos_3,t56_cos_3,t78_cos_3,t89_cos_3,t108_cos_3,t811_cos_3,t110_cos_3,t311_cos_3,t28_cos_3,t47_cos_3,t69_cos_3,t75_cos_3,t95_cos_3,t42_cos_3,t62_cos_3,t25_cos_3,t85_cos_3,dihedral_cos_selfai_selfbi_selfbj_selfaj_3,dihedral_sin_selfai_selfbi_selfbj_selfaj_3,dihedral_cos_minusi_selfi_selfj_minusj_3,dihedral_sin_minusi_selfi_selfj_minusj_3,dihedral_cos_minusi_selfi_selfj_plusj_3,dihedral_sin_minusi_selfi_selfj_plusj_3,dihedral_cos_plusi_selfi_selfj_minusj_3,dihedral_sin_plusi_selfi_selfj_minusj_3,dihedral_cos_plusi_selfi_selfj_plusj_3,dihedral_sin_plusi_selfi_selfj_plusj_3,linear_foldseek_b_3,log_foldseek_b_3,linear_foldseek_a_3,log_foldseek_a_3,u12_dist_4,u13_dist_4,u14_dist_4,u15_dist_4,u16_dist_4,u17_dist_4,u18_dist_4,u19_dist_4,nearest_distances_cb_4,u20_dist_4,u21_dist_4,u22_dist_4,u23_dist_4,u25_dist_4,u26_dist_4,u27_dist_4,u28_dist_4,nearest_distances_ca_4,t12_cos_4,t23_cos_4,t45_cos_4,t56_cos_4,t78_cos_4,t89_cos_4,t108_cos_4,t811_cos_4,t110_cos_4,t311_cos_4,t28_cos_4,t47_cos_4,t69_cos_4,t75_cos_4,t95_cos_4,t42_cos_4,t62_cos_4,t25_cos_4,t85_cos_4,dihedral_cos_selfai_selfbi_selfbj_selfaj_4,dihedral_sin_selfai_selfbi_selfbj_selfaj_4,dihedral_cos_minusi_selfi_selfj_minusj_4,dihedral_sin_minusi_selfi_selfj_minusj_4,dihedral_cos_minusi_selfi_selfj_plusj_4,dihedral_sin_minusi_selfi_selfj_plusj_4,dihedral_cos_plusi_selfi_selfj_minusj_4,dihedral_sin_plusi_selfi_selfj_minusj_4,dihedral_cos_plusi_selfi_selfj_plusj_4,dihedral_sin_plusi_selfi_selfj_plusj_4,linear_foldseek_b_4,log_foldseek_b_4,linear_foldseek_a_4,log_foldseek_a_4,cos_ca_k0_and_k1,cos_cb_k0_and_k1,cos_ca_k0_and_k2,cos_cb_k0_and_k2,cos_ca_k0_and_k3,cos_cb_k0_and_k3,cos_ca_k0_and_k4,cos_cb_k0_and_k4,cos_ca_k1_and_k2,cos_cb_k1_and_k2,cos_ca_k1_and_k3,cos_cb_k1_and_k3,cos_ca_k1_and_k4,cos_cb_k1_and_k4,cos_ca_k2_and_k3,cos_cb_k2_and_k3,cos_ca_k2_and_k4,cos_cb_k2_and_k4,cos_ca_k3_and_k4,cos_cb_k3_and_k4
plddt,-0.00033129751682281494,6.6086649894714355e-06,0.0022647827863693237,-0.00043039023876190186,-1.1228024959564209e-05,0.0017991513013839722,-5.214661359786987e-05,-4.127621650695801e-06,0.0021203160285949707,0.0004766881465911865,1.6093254089355469e-06,0.0017907023429870605,4.716217517852783e-06,-0.00010497868061065674,-5.895644426345825e-05,-2.46390700340271e-05,-0.001541338860988617,-0.001914389431476593,-0.0006485357880592346,-0.0010181963443756104,-0.0016888752579689026,-0.0006872713565826416,-0.002058476209640503,-0.0014569982886314392,-0.002892106771469116,-0.0028788596391677856,-0.002687700092792511,-0.0018738657236099243,-0.002132624387741089,-0.0018809735774993896,-0.0019347518682479858,-0.0031397640705108643,-0.002055428922176361,-0.0023431703448295593,0.001468174159526825,0.0009506717324256897,0.00014153122901916504,4.739314317703247e-05,0.0007820725440979004,0.001152142882347107,0.0015154778957366943,0.00038404762744903564,0.0002858862280845642,0.00030425935983657837,-0.00014559179544448853,0.00015319138765335083,3.8251280784606934e-05,0.0003116428852081299,0.0002279132604598999,0.0002450868487358093,0.0006758049130439758,0.00010966509580612183,6.623566150665283e-05,-0.0004272758960723877,-1.1779367923736572e-05,6.87912106513977e-05,-3.3229589462280273e-05,0.00020754337310791016,2.925097942352295e-05,-0.00012715160846710205,-2.6941299438476562e-05,2.9861927032470703e-05,-1.2837350368499756e-05,0.00022470951080322266,6.226450204849243e-05,0.00010861456394195557,6.66305422782898e-05,-0.0006449371576309204,-0.0013253837823867798,0.0007190927863121033,-0.0010983943939208984,-0.001360677182674408,0.0007588937878608704,-0.0014508217573165894,-0.0003591999411582947,-0.003229372203350067,-0.0016644001007080078,-0.001452319324016571,0.0004732981324195862,-0.0010967180132865906,-0.0027807876467704773,-0.0015306100249290466,-0.0017485842108726501,-0.0014322847127914429,-0.003185741603374481,0.0012569427490234375,0.0010186880826950073,4.045665264129639e-05,0.0001661926507949829,0.0011212900280952454,0.0009475946426391602,0.0014590322971343994,0.0002136528491973877,0.0002152472734451294,9.015202522277832e-05,-7.4803829193115234e-06,3.48016619682312e-05,0.0001350119709968567,0.00014272332191467285,0.00012455880641937256,0.0005212649703025818,0.0006596148014068604,-5.5402517318725586e-05,0.00013449788093566895,-0.0002947300672531128,-5.811452865600586e-06,-5.9157609939575195e-06,-1.5035271644592285e-05,6.797909736633301e-05,1.2785196304321289e-05,0.00014446675777435303,-4.06801700592041e-06,5.6803226470947266e-05,-3.5881996154785156e-05,3.907829523086548e-05,-2.5548040866851807e-05,8.387118577957153e-05,-3.516674041748047e-06,-0.0004963651299476624,-0.0014228150248527527,-0.0012467652559280396,-0.0012171119451522827,-0.000573277473449707,-0.0009160488843917847,-0.001150667667388916,-0.0002626776695251465,-0.0016056522727012634,-0.0009454414248466492,-0.0021082088351249695,-0.00180131196975708,-0.00227142870426178,-0.0017422735691070557,-0.0016300305724143982,-0.002380944788455963,-0.0016878321766853333,-0.0028759241104125977,0.0015511810779571533,0.0011243447661399841,9.588897228240967e-05,0.00010758638381958008,0.0015681535005569458,0.0007884502410888672,0.0013681277632713318,0.00020331889390945435,0.00019638240337371826,-4.1738152503967285e-05,-5.6624412536621094e-05,-9.989738464355469e-05,6.242096424102783e-05,8.815526962280273e-05,3.724545240402222e-05,0.0005180612206459045,0.00048261135816574097,0.0001325458288192749,5.535781383514404e-06,-8.25151801109314e-05,-9.365379810333252e-06,3.635883331298828e-06,-2.4683773517608643e-05,-2.8833746910095215e-05,-1.4156103134155273e-07,-2.5831162929534912e-05,-1.0959804058074951e-05,-1.2464821338653564e-05,9.611248970031738e-07,0.0002071484923362732,0.0001724138855934143,1.2800097465515137e-05,-6.980448961257935e-05,-0.0017165988683700562,-9.84296202659607e-05,0.001348346471786499,-0.0017120316624641418,-0.0011146515607833862,-0.0007117986679077148,-0.0019293352961540222,-0.0008727237582206726,-0.002664633095264435,-0.0017703622579574585,-0.0019926130771636963,-0.0008166953921318054,-0.0012230202555656433,-0.0018630251288414001,-0.001256018877029419,-0.0008175745606422424,-0.0020523518323898315,-0.0018881261348724365,0.0011994540691375732,0.001001991331577301,0.00022033601999282837,8.054077625274658e-05,0.001271963119506836,0.0009947270154953003,0.001419268548488617,0.0001230388879776001,9.676814079284668e-05,-4.442036151885986e-05,1.208484172821045e-05,4.238635301589966e-05,-7.094442844390869e-05,-7.941573858261108e-05,-2.1435320377349854e-05,0.00017126649618148804,0.0006515607237815857,6.526708602905273e-05,-9.3899667263031e-05,-1.1116266250610352e-05,2.60770320892334e-06,2.0213425159454346e-05,-1.3865530490875244e-05,0.00010966509580612183,-1.564621925354004e-07,-7.947534322738647e-05,-9.663403034210205e-06,3.5762786865234375e-05,1.6845762729644775e-05,8.993595838546753e-05,-9.618699550628662e-06,0.0001193508505821228,-4.3198466300964355e-05,-0.0007911473512649536,-0.0012817531824111938,-0.00015056878328323364,-0.0011501684784889221,-0.0006419941782951355,-0.0005363970994949341,-0.0016674250364303589,-0.00138072669506073,-0.0020623058080673218,-0.0011435076594352722,-0.0011467412114143372,-0.0012384727597236633,-0.0013645440340042114,-0.0003137439489364624,-0.0005672425031661987,-0.0009870603680610657,-0.0007729604840278625,-0.0018344894051551819,0.0010185688734054565,0.0009472668170928955,0.00016014277935028076,0.00010888278484344482,0.0010009482502937317,0.000635102391242981,0.0015128254890441895,0.0001949891448020935,0.00019403547048568726,0.00018946826457977295,7.037818431854248e-05,6.67870044708252e-05,0.00015141814947128296,7.256865501403809e-05,-1.4379620552062988e-06,-0.00012567639350891113,0.00023829936981201172,6.626546382904053e-05,-2.326071262359619e-05,-3.166496753692627e-05,-9.007751941680908e-06,2.9727816581726074e-06,1.9669532775878906e-06,0.00010582804679870605,2.130866050720215e-06,0.0,4.1425228118896484e-06,-1.96993350982666e-05,-2.63899564743042e-05,0.00012101233005523682,7.536262273788452e-05,0.0001246929168701172,-5.801767110824585e-05,8.282065391540527e-05,0.00025556981563568115,-1.3880431652069092e-05,-5.65946102142334e-05,5.5402517318725586e-05,1.4729797840118408e-05,4.1775405406951904e-05,1.8328428268432617e-05,4.4129788875579834e-05,8.623301982879639e-05,-1.0073184967041016e-05,6.642192602157593e-05,1.6942620277404785e-05,9.349733591079712e-05,5.5149197578430176e-05,0.00012271851301193237,1.8425285816192627e-05,4.639476537704468e-05,2.0995736122131348e-05,7.112324237823486e-05
cce,0.0027331113815307617,0.007095813751220703,0.008659124374389648,0.007745623588562012,0.007412433624267578,0.0066231489181518555,0.05539882183074951,0.006874203681945801,0.0007808208465576172,0.7617007493972778,0.007314920425415039,0.000274658203125,0.00668787956237793,-0.004741072654724121,6.496906280517578e-05,-0.0003502368927001953,-0.004065036773681641,0.0002484321594238281,-0.005395054817199707,-0.002630949020385742,-0.002744913101196289,-0.00020968914031982422,-0.001071333885192871,-0.004749774932861328,0.007039189338684082,0.010071516036987305,0.008630156517028809,0.009540796279907227,0.008110284805297852,0.009027838706970215,0.0029107332229614258,0.006741642951965332,0.008249640464782715,0.009793519973754883,0.06150162220001221,0.02879345417022705,0.009159445762634277,0.009983301162719727,-0.0018215179443359375,-0.0013272762298583984,-0.002341151237487793,-0.0006824731826782227,-0.0007950067520141602,0.0011975765228271484,-0.0018862485885620117,-0.0004972219467163086,0.0016916990280151367,0.00263369083404541,0.001986980438232422,-0.009965896606445312,-0.008921384811401367,0.0032129287719726562,0.0015399456024169922,-0.0021609067916870117,0.0021126270294189453,0.0007299184799194336,0.00012493133544921875,0.0010006427764892578,0.00010895729064941406,0.0003870725631713867,0.0003619194030761719,0.00045812129974365234,0.0005470514297485352,-0.00024175643920898438,-0.0023900270462036133,0.006005764007568359,0.0037015676498413086,-0.003897547721862793,-0.0023680925369262695,-0.006204843521118164,-0.0012159347534179688,-0.0006481409072875977,-0.0029093027114868164,-0.008122682571411133,-0.003338336944580078,0.004141330718994141,0.008693814277648926,0.0062514543533325195,0.007623195648193359,0.005292177200317383,0.010862946510314941,0.0055201053619384766,0.004037976264953613,0.008279561996459961,0.00849604606628418,0.060986876487731934,0.029108524322509766,0.009718179702758789,0.0031037330627441406,-0.00012135505676269531,-8.96453857421875e-05,-0.0017862319946289062,-0.0012214183807373047,-0.0006814002990722656,0.0002186298370361328,-0.0005476474761962891,-0.00019824504852294922,0.0019567012786865234,0.0016077756881713867,0.0016227960586547852,-0.010285377502441406,-0.008792877197265625,-0.0028853416442871094,0.005264639854431152,-0.0011762380599975586,0.0009386539459228516,8.034706115722656e-05,0.0001652240753173828,0.0011426210403442383,4.1961669921875e-05,0.0004419088363647461,0.00018548965454101562,0.00019621849060058594,8.58306884765625e-06,0.0009959936141967773,-0.00018215179443359375,0.0032273530960083008,0.0014808177947998047,-0.004910707473754883,0.0010137557983398438,-0.004008650779724121,0.00044918060302734375,0.0018715858459472656,-0.004016876220703125,-0.006504654884338379,-0.005545377731323242,0.001739501953125,0.00626826286315918,0.005682706832885742,0.003888368606567383,0.0067653656005859375,0.007651209831237793,0.001862168312072754,0.002217411994934082,0.003409743309020996,0.005429267883300781,0.06054413318634033,0.02915036678314209,0.0016173124313354492,0.0026127099990844727,0.0022585391998291016,0.0012509822845458984,0.0009281635284423828,-0.0007497072219848633,-0.0010656118392944336,-0.001265406608581543,-0.0005838871002197266,0.0015834569931030273,0.0007783174514770508,0.0006350278854370117,0.0015331506729125977,-0.010454416275024414,-0.008795380592346191,-0.0014442205429077148,0.002175569534301758,-0.0007873773574829102,-6.759166717529297e-05,-0.0001081228256225586,0.0001493692398071289,0.00038170814514160156,0.0001405477523803711,9.107589721679688e-05,7.963180541992188e-05,0.00021350383758544922,-1.2040138244628906e-05,-0.0018578767776489258,-0.0018157958984375,0.0030313730239868164,0.0026853084564208984,-0.0063163042068481445,-0.005674242973327637,-0.005764365196228027,-0.0003287792205810547,0.00011861324310302734,-0.006506800651550293,-0.005997180938720703,-0.005887508392333984,0.0005248785018920898,0.004963040351867676,0.0032966136932373047,0.0039212703704833984,0.004536271095275879,0.004991412162780762,0.0032137632369995117,0.0009881258010864258,0.0040435791015625,0.005782365798950195,0.06073951721191406,0.02898573875427246,0.0018638372421264648,0.0002797842025756836,0.001926422119140625,0.0021933317184448242,-0.0005381107330322266,-0.00011324882507324219,-0.001684427261352539,-0.0012329816818237305,0.0002702474594116211,0.0012252330780029297,0.0017638206481933594,0.0007610321044921875,0.0009969472885131836,-0.01042783260345459,-0.008738279342651367,-0.00154876708984375,0.004815340042114258,-0.000685572624206543,0.00043070316314697266,0.00023055076599121094,-2.562999725341797e-05,0.0001926422119140625,-0.00011610984802246094,-2.2411346435546875e-05,4.267692565917969e-05,0.0002497434616088867,5.698204040527344e-05,0.0003331899642944336,-0.0006886720657348633,0.0020627975463867188,0.0014438629150390625,-0.0075757503509521484,-0.0067713260650634766,-0.004521369934082031,0.0033141374588012695,0.0004049539566040039,-0.003909587860107422,-0.0057413578033447266,-0.0031118392944335938,0.001801133155822754,0.0018508434295654297,0.002798795700073242,0.0004943609237670898,0.0027081966400146484,0.005202293395996094,0.0011670589447021484,0.0003399848937988281,0.00204622745513916,0.0031430721282958984,0.059534549713134766,0.029199719429016113,0.00014925003051757812,0.0010994672775268555,0.002880096435546875,0.0018364191055297852,0.00034630298614501953,-8.618831634521484e-05,-0.001178741455078125,-0.0019272565841674805,2.6702880859375e-05,0.0009944438934326172,0.0010690689086914062,0.0004100799560546875,0.0004291534423828125,-0.010212302207946777,-0.008826375007629395,0.0014235973358154297,-1.430511474609375e-05,-0.00021445751190185547,0.00013387203216552734,0.00020635128021240234,7.152557373046875e-07,-5.9723854064941406e-05,4.9233436584472656e-05,0.0002461671829223633,-6.508827209472656e-05,2.4437904357910156e-05,2.7179718017578125e-05,-0.0009551048278808594,-0.0011179447174072266,0.001210331916809082,0.0023154020309448242,-0.00038182735443115234,0.017858147621154785,0.004406094551086426,-0.00019609928131103516,0.0002351999282836914,0.0034755468368530273,0.004159808158874512,-0.0009391307830810547,0.00020515918731689453,0.0029543638229370117,0.003941178321838379,-0.00020325183868408203,0.0004905462265014648,8.928775787353516e-05,-0.0019136667251586914,0.004233121871948242,0.004083156585693359,-0.00042879581451416016,-0.00045680999755859375,-0.00023996829986572266
acc,0.0005123019218444824,0.002721428871154785,0.0026253461837768555,0.003457784652709961,0.0028174519538879395,0.0019209980964660645,0.017576992511749268,0.0026573538780212402,-0.00022411346435546875,0.1805724799633026,0.00275343656539917,3.2007694244384766e-05,0.002241194248199463,-0.0028174519538879395,-3.2007694244384766e-05,-0.0007363557815551758,-9.60230827331543e-05,0.0015367865562438965,-0.001024484634399414,-0.003201603889465332,-0.0016328096389770508,0.00012809038162231445,-3.2007694244384766e-05,-0.0008644461631774902,0.002337217330932617,0.004770457744598389,0.003073573112487793,0.005186676979064941,0.003809988498687744,0.004674434661865234,0.0015047788619995117,0.0022091269493103027,0.004226207733154297,0.0048024654388427734,0.027950316667556763,0.012966632843017578,0.0017288923263549805,0.0024973154067993164,-0.00032013654708862305,-3.2007694244384766e-05,-0.000512242317199707,-0.0004482269287109375,-0.0002881288528442383,-0.0003521442413330078,-0.00022411346435546875,-0.0006403326988220215,-6.401538848876953e-05,0.0013126730918884277,0.002177119255065918,-0.004674375057220459,-0.002177119255065918,-0.0013766884803771973,0.0009285211563110352,-3.2007694244384766e-05,0.001088559627532959,0.0002561211585998535,6.407499313354492e-05,0.0002561211585998535,0.0003522038459777832,-0.00022411346435546875,-3.2007694244384766e-05,-0.0005442500114440918,9.608268737792969e-05,0.001664876937866211,0.00032019615173339844,0.0009285211563110352,0.0009925365447998047,3.2007694244384766e-05,-0.001408696174621582,6.407499313354492e-05,-0.000704348087310791,-0.00179290771484375,-0.001408696174621582,-0.0017288923263549805,-0.0008003711700439453,0.0007684230804443359,0.003457784652709961,0.003073573112487793,0.00448232889175415,0.002145111560821533,0.006019115447998047,0.0026253461837768555,0.001280665397644043,0.004034101963043213,0.004162132740020752,0.027406036853790283,0.012966632843017578,0.002145111560821533,-0.0011205673217773438,0.00048023462295532227,-0.00016003847122192383,-3.2007694244384766e-05,0.00022411346435546875,0.0,9.608268737792969e-05,0.00022411346435546875,-0.000512242317199707,0.0004482269287109375,0.0020810961723327637,0.0007684230804443359,-0.004834473133087158,-0.0024012327194213867,-0.0017609000205993652,0.0020170211791992188,-0.00016003847122192383,0.0013767480850219727,-6.401538848876953e-05,0.00019210577011108398,0.0005123019218444824,0.0003522038459777832,-0.0006723403930664062,6.407499313354492e-05,3.2007694244384766e-05,-0.00022411346435546875,0.0007044076919555664,0.000896453857421875,0.0012486577033996582,0.00032019615173339844,6.407499313354492e-05,0.0023052096366882324,0.0008644461631774902,-6.401538848876953e-05,-0.000704348087310791,-0.0016968250274658203,-0.0016328096389770508,-0.001024484634399414,-0.0005762577056884766,0.002145111560821533,0.0022732019424438477,0.0011205673217773438,0.00275343656539917,0.0033296942710876465,0.0012166500091552734,0.0011846423149108887,0.0014087557792663574,0.0032976865768432617,0.027277976274490356,0.012934625148773193,0.0007364153861999512,0.001985013484954834,0.0009285211563110352,0.000896453857421875,0.0009285211563110352,0.0002561211585998535,-0.00022411346435546875,-0.0003841519355773926,9.608268737792969e-05,0.0006403326988220215,0.0003522038459777832,0.0007684230804443359,0.0009925365447998047,-0.004290163516998291,-0.0024332404136657715,-0.0007683634757995605,0.00038421154022216797,-0.00016003847122192383,-0.0003521442413330078,0.0008644461631774902,0.00019210577011108398,0.0006403326988220215,0.00012809038162231445,0.00022411346435546875,0.00028818845748901367,0.0003522038459777832,0.0002561211585998535,-0.0003521442413330078,0.00012809038162231445,0.0015687942504882812,0.0013446807861328125,-0.0008003711700439453,-0.0014407038688659668,-0.000512242317199707,-0.001216590404510498,-0.0007363557815551758,-0.0022731423377990723,-0.0031695961952209473,-0.000704348087310791,-0.0008003711700439453,0.00179290771484375,0.00179290771484375,0.0019530057907104492,0.0024653077125549316,0.0034897923469543457,0.0012486577033996582,0.0019530057907104492,0.0028174519538879395,0.002881467342376709,0.027213960886001587,0.012966632843017578,0.0007364153861999512,-0.0006403326988220215,0.0009925365447998047,0.0013767480850219727,-0.00048023462295532227,-0.00012803077697753906,-0.00041621923446655273,0.00016009807586669922,0.0006083250045776367,0.0003522038459777832,0.00032019615173339844,0.00019210577011108398,0.0010565519332885742,-0.0049304962158203125,-0.0023691654205322266,-0.0018889307975769043,0.0015687942504882812,-0.00019210577011108398,0.00016009807586669922,0.00022411346435546875,0.00022411346435546875,-3.2007694244384766e-05,0.00032019615173339844,-0.00022411346435546875,6.407499313354492e-05,0.0002561211585998535,0.00032019615173339844,0.00022411346435546875,-0.00012803077697753906,0.0009285211563110352,0.0005123019218444824,-0.001600801944732666,-0.0022091269493103027,-0.001408696174621582,-3.2007694244384766e-05,-0.0009284615516662598,-0.002881467342376709,-0.0029454827308654785,-0.0017609000205993652,0.0,-0.0007363557815551758,0.0006723403930664062,-0.00012803077697753906,0.0003522038459777832,0.0024332404136657715,0.00032019615173339844,-0.0006403326988220215,0.0016008615493774414,0.0013126730918884277,0.026957809925079346,0.012934625148773193,-0.00016003847122192383,0.0007684230804443359,0.001280665397644043,0.0009925365447998047,0.00048023462295532227,-0.00019210577011108398,-0.000512242317199707,-0.0006403326988220215,0.00012809038162231445,-0.00012803077697753906,-9.60230827331543e-05,0.00038421154022216797,0.00028818845748901367,-0.004482269287109375,-0.0024652481079101562,0.0009925365447998047,0.0007364153861999512,6.407499313354492e-05,-0.00016003847122192383,6.407499313354492e-05,0.00012809038162231445,0.0002561211585998535,0.00019210577011108398,-0.0002561211585998535,-0.00019210577011108398,6.407499313354492e-05,0.00028818845748901367,0.00012809038162231445,-9.60230827331543e-05,0.001152634620666504,0.0005443096160888672,-0.0005762577056884766,0.005634903907775879,0.0023052096366882324,0.00022411346435546875,-0.000704348087310791,0.000576317310333252,0.0015687942504882812,-0.00032013654708862305,0.00019210577011108398,0.0007684230804443359,0.0015687942504882812,0.0005443096160888672,-0.0002881288528442383,9.608268737792969e-05,-0.0006082653999328613,0.0015047788619995117,0.0024332404136657715,0.0008004307746887207,-0.00032013654708862305,-0.00016003847122192383
